Item.no,ItemNo,Target
201,G33,দুর্ভাবনা
202,G34,দুশ্চিন্তা
203,G35,দুর্ভোগ
204,G36,দুঃস্বপ্ন
205,G37,প্রতিভাস
206,G38,প্রতিশোধ
207,G39,প্রতিবন্ধন
208,G40,প্রতিগ্রাহ
209,G41,দুর্ভাগ্য
210,G42,দুর্বুদ্ধি
211,G43,দুঃসাহস
212,G44,দুর্গন্ধ
213,G45,দুর্দশা
214,G46,দুর্বৃত্তি
215,G47,প্রতিশ্রুতি
216,G48,প্রতিভূতি
217,G49,প্রতিসরণ
218,G50,প্রতিগমন
219,G51,প্রতিলক্ষণ
220,G52,প্রতিহিংসা
221,G53,দুঃস্বভাব
222,G54,প্রতিসর্গ
223,G55,প্রতিফলন
224,G56,প্রতিধ্বনি
225,G57,দুশমন
226,G58,দুর্বচন
227,G59,দুর্দৈব
228,G60,প্রতিক্রোশ
229,S01,দুর্নাক
230,S02,প্রতিছেলে
231,S03,প্রতিমেয়ে
232,S04,দুর্লেজ
233,S05,দুর্চোখ
234,S06,দুর্লতা
235,S07,প্রতিরক্ত
236,S08,প্রতিকাঠ
237,S09,দুর্সিংহ
238,S10,প্রতিবন্দর
239,S11,দুর্পেট
240,S12,প্রতিবাতি
241,S13,প্রতিপাহাড়
242,S14,প্রতিমালা
243,S15,প্রতিসাপ
244,S16,প্রতিসেতু
245,S17,প্রতিবালি
246,S18,প্রতিবাগান
247,S19,প্রতিহাতি
248,S20,দুর্ব্যাঙ
249,S21,প্রতিনৌকা
250,S22,দুর্দ্বীপ
251,S23,দুর্সূর্য
252,S24,প্রতিদুধ
253,S25,দুর্সমুদ্র
254,S26,প্রতিপাথর
255,S27,দুর্মধু
256,S28,প্রতিডিম
257,S29,দুর্কালি
258,S30,প্রতিপুকুর
259,S31,দুর্জাহাজ
260,S32,প্রতিবাঘ
261,S33,প্রতিরুটি
262,S34,দুর্পেঁয়াজ
263,S35,দুর্চামচ
264,S36,প্রতিছানা
265,S37,প্রতিচিনি
266,S38,দুর্বীজ
267,S39,দুর্কুকুর
268,S40,দুর্শিং
269,S41,দুর্খড়
270,S42,প্রতিময়দা
271,S43,দুর্সবজি
272,S44,প্রতিদাঁত
273,S45,দুর্চামড়া
274,S46,দুর্বিছানা
275,S47,প্রতিগোলাপ
276,S48,দুঃআলু
277,S49,দুর্শিয়াল
278,S50,দুর্ঘোড়া
279,S51,প্রতিছুরি
280,S52,প্রতিলেবু
281,S53,প্রতিবরফ
282,S54,দুর্জলপাই
283,S55,প্রতিগাড়ী
284,S56,দুর্পনির
285,S57,প্রতিমুর্গি
286,S58,প্রতিছাগল
287,S59,দুঃরসুন
288,S60,প্রতিহাঁস
289,S61,প্রতিদড়ি
290,S62,দুর্গুদাম
291,S63,দুঃহরিণ
292,S64,প্রতিহীরা
293,S65,প্রতিচাবি
294,S66,দুর্জানালা
295,S67,দুর্তামাক
296,S68,দুর্বি়ড়াল
297,S69,দুর্চিংড়ি
298,S70,প্রতিমোরগ
299,S71,দুর্কম্বল
300,S72,দুঃইঁদুর
301,S73,প্রতিমাছি
302,S74,দুর্চুড়ি
303,S75,দুর্ভেড়া
304,S76,প্রতিবানর
